stringwkstID;WkstNr;Kurzname;Bez;Typ;ASTMSpec;ASMEType;ASMEUNS;Quelle;Tmin;Tmax;TmaxAbgas;LZ;Dichte;alsBalg;alsAT;Preis_RTW;n_spring;Rp0
132;В409 ALLOY N08800;X10NiCrAlTi32-21;INCOLOY 800H;N;B 409;-;N 08810;DIN EN 10095;-10;900;900;2.662;8;1;"0";"0";"0.1";187
134;ASTM 333 GR6;Сталь 20ЮЧ;-;F;-;-;-;-;-30;350;350;"0";7.85;"0";1;"0";"0";"0"
135;ASTM 335 GR Р11;15ХМ;-;F;-;-;-;-;-30;420;420;"0";7.85;;1;;;
133;A350 GR LF2 CL.1;15ХМ;-;F;-;-;-;-;-30;400;400;"0";7.85;"0";"0";"0";"0";"0"
136;Ст.45;Сталь 45;-;F;-;-;-;ГОСТ 1050-88;-30;350;350;"0";7.85;"0";1;"0";"0";"0"
137;-;-;-;-;-;-;-;-;-30;100;150;"0";"0";"0";"0";"0";"0";"0"
138;P235GH;St 35.8;1.0305;F;A 106;-;K 02501;DIN 17175;-10;400;550;"0";7.85;"0";1;"0";"0";"0"
139;1.4541/316Ti;X6CrNiTi18-10;-;A;A 240;321;S 32100;DIN EN 10028-7;-270;550;600;"0.988";7.9;1;"0";"0";"0.1";195
140;AISI 309;-;-;A;-;-;-;-;-276;500;500;;7.8;;;;;
70;25Х1МФ;-;-;F;-;-;-;-;-40;510;;;7.85;;;;;
101;"08кп";-;-;-;"";"";"";"";;;;;;;;;;
121;12Х1МФ;12Х1МФ;-;A;-;-;-;5520–79;-253;600;700;"0.988";7.9;"0";1;"0";"0.1";195
103;20Х13;-;-;A;"";"";"";"";;;;;;;;;;
105;EPDM;-;-;-;"";"";"";"";;;;;;;;;;
106;Hypalon;-;-;-;"";"";"";"";;;;;;;;;;
107;CSM;-;-;-;"";"";"";"";;;;;;;;;;
108;NBR;-;-;-;"";"";"";"";;;;;;;;;;
109;CR;-;-;-;"";"";"";"";;;;;;;;;;
110;Silicon;-;-;-;"";"";"";"";;;;;;;;;;
128;Ф4;"";"";-;"";"";"";"";;;;;;;;;;
129;GS900;"";"";-;"";"";"";"";;;;;;;;;;
130;FPM;"";"";-;"";"";"";"";;;;;;;;;;
71;30ХМА;-;-;F;-;-;-;-;-40;500;;;7.85;;;;;
141;AISI 316Ti/316L;X6CrNiTi18-10;-;A;A 240;321;S 32100;DIN EN 10028-7;-270;550;600;"0.988";7.9;1;"0";"0";"0.1";195
142;S355J0;-;-;F;-;-;-;-;-30;400;400;"0";7.85;"0";"0";"0";"0";"0"
144;35ХМ;-;-;F;-;-;-;-;-40;450;;;7.85;;;;;
145;Ст.20ЮЧ;Сталь 20ЮЧ;-;F;-;-;-;ТУ 14-I-4853-90;-30;350;350;"0";7.85;"0";1;"0";"0";"0"
146;В407 ALLOY N08800;X10NiCrAlTi32-21;INCOLOY 800H;N;B 407;"";N 08810;DIN EN 10095;-10;900;900;2.662;8;1;"0";"0";"0.1";187
